Регистрационный номер,Наименование НИОКР,Организация,Год начала,Год окончания,Тип работы,Направление,Стоимость
NIOKR-000001,Исследование в области 'Новые материалы' №1,СПбГУ,2016,2017,НИР,Новые материалы,19728463
NIOKR-000002,Исследование в области 'Искусственный интеллект' №2,Сколтех,2016,2019,ОКР,Искусственный интеллект,5265799
NIOKR-000003,Исследование в области 'Робототехника' №3,СПбГУ,2015,2016,Технологическая работа,Робототехника,81801586
NIOKR-000004,Исследование в области 'Робототехника' №4,УрФУ,2015,2018,ОКР,Робототехника,30587039
NIOKR-000005,Исследование в области 'Новые материалы' №5,МГТУ им. Баумана,2022,2025,НИР,Новые материалы,94702683
NIOKR-000006,Исследование в области 'Новые материалы' №6,МФТИ,2021,2023,НИР,Новые материалы,46176955
NIOKR-000007,Исследование в области 'Микроэлектроника' №7,НИЯУ МИФИ,2016,2017,ОКР,Микроэлектроника,47164955
NIOKR-000008,Исследование в области 'Информационные технологии' №8,КФУ,2024,2026,Технологическая работа,Информационные технологии,17753883
NIOKR-000009,Исследование в области 'Новые материалы' №9,Сколтех,2021,2022,ОКР,Новые материалы,78490893
NIOKR-000010,Исследование в области 'Искусственный интеллект' №10,МГТУ им. Баумана,2018,2021,Технологическая работа,Искусственный интеллект,31587988
NIOKR-000011,Исследование в области 'Робототехника' №11,НИЯУ МИФИ,2019,2020,ОКР,Робототехника,38308985
NIOKR-000012,Исследование в области 'Биотехнологии' №12,МФТИ,2022,2025,ОКР,Биотехнологии,48683626
NIOKR-000013,Исследование в области 'Новые материалы' №13,НИЯУ МИФИ,2018,2021,Технологическая работа,Новые материалы,86225343
NIOKR-000014,Исследование в области 'Робототехника' №14,МФТИ,2017,2020,ОКР,Робототехника,51929647
NIOKR-000015,Исследование в области 'Робототехника' №15,НИУ ВШЭ,2019,2022,НИР,Робототехника,31742311
NIOKR-000016,Исследование в области 'Микроэлектроника' №16,ИТМО,2015,2017,НИР,Микроэлектроника,29317637
NIOKR-000017,Исследование в области 'Биотехнологии' №17,СПбГУ,2024,2027,Технологическая работа,Биотехнологии,68005685
NIOKR-000018,Исследование в области 'Квантовые технологии' №18,МФТИ,2021,2024,ОКР,Квантовые технологии,19740864
NIOKR-000019,Исследование в области 'Новые материалы' №19,Сколтех,2018,2021,ОКР,Новые материалы,79320463
NIOKR-000020,Исследование в области 'Робототехника' №20,МФТИ,2021,2023,Технологическая работа,Робототехника,67238574
NIOKR-000021,Исследование в области 'Искусственный интеллект' №21,МФТИ,2016,2017,Технологическая работа,Искусственный интеллект,22472420
NIOKR-000022,Исследование в области 'Искусственный интеллект' №22,Томский политехнический университет,2021,2024,ОКР,Искусственный интеллект,80978790
NIOKR-000023,Исследование в области 'Новые материалы' №23,УрФУ,2022,2025,НИР,Новые материалы,92306093
NIOKR-000024,Исследование в области 'Новые материалы' №24,НИУ ВШЭ,2016,2019,НИР,Новые материалы,40392920
NIOKR-000025,Исследование в области 'Квантовые технологии' №25,МГТУ им. Баумана,2021,2022,Технологическая работа,Квантовые технологии,97593904
NIOKR-000026,Исследование в области 'Ядерные технологии' №26,УрФУ,2019,2022,НИР,Ядерные технологии,84926371
NIOKR-000027,Исследование в области 'Робототехника' №27,МФТИ,2019,2022,ОКР,Робототехника,22682744
NIOKR-000028,Исследование в области 'Информационные технологии' №28,Сколтех,2023,2026,ОКР,Информационные технологии,66579548
NIOKR-000029,Исследование в области 'Биотехнологии' №29,ИТМО,2015,2016,НИР,Биотехнологии,8774584
NIOKR-000030,Исследование в области 'Искусственный интеллект' №30,НИЯУ МИФИ,2018,2021,Технологическая работа,Искусственный интеллект,66228535
NIOKR-000031,Исследование в области 'Ядерные технологии' №31,МФТИ,2016,2019,Технологическая работа,Ядерные технологии,64791320
